idCompra;idItemCompra;forma;modalidade;criterioJulgamento;numeroItemCompra;descricaoItem;codigoItemCatalogo;nomeUnidadeMedida;siglaUnidadeMedida;nomeUnidadeFornecimento;siglaUnidadeFornecimento;capacidadeUnidadeFornecimento;quantidade;precoUnitario;percentualMaiorDesconto;niFornecedor;nomeFornecedor;marca;codigoUasg;nomeUasg;codigoMunicipio;municipio;estado;codigoOrgao;nomeOrgao;poder;esfera;dataCompra;dataHoraAtualizacaoCompra;dataHoraAtualizacaoItem;dataResultado;dataHoraAtualizacaoUasg;codigoClasse;nomeClasse
34404206000312023;2476507;SISPP;6; ;4;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;;UNIDADE;UN;0,00;6,00;17,99;0,00;42616382000122;M2 COMERCIO VAREJISTA MEDICAMENTOS LTDA;s/m;344042;FUNDACAO BIBLIOTECA NACIONAL;3304557;RIO DE JANEIRO;RJ;20404;FUNDACAO BIBLIOTECA NACIONAL;E;F;2023-03-22 00:00:00.0;2024-03-23T03:29:59.667136;2024-03-23T03:59:59.642627;2023-03-22 00:00:00.0;2025-09-30T12:19;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
15315006000742023;2476548;SISPP;6; ;1;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;4,50;600,00;5,28;0,00;08774906000175;HOSPDROGAS COMERCIAL LTDA;MISNER;153150;INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ;3304557;RIO DE JANEIRO;RJ;26245;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;E;F;2023-03-22 00:00:00.0;2024-03-23T03:29:59.667136;2024-03-23T03:59:59.642627;2023-03-22 00:00:00.0;2025-07-07T15:17;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
15812206000752022;487398;SISPP;6; ;17;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;4,50;4,00;10,00;0,00;15152423000102;SAUDE BELEZA E BEM ESTAR FARMA LTDA;Nacional;158122;INST.FED.DE EDUC.,CIENCIA E TECNOLOGIA DE MG;3106200;BELO HORIZONTE;MG;26409;INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS;E;F;2022-03-25 00:00:00.0;2023-03-26T03:30:00.050066;2023-03-26T04:00:00.048200;2022-03-25 00:00:00.0;2025-09-10T10:56;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
78370205000072022;2518401;SISRP;5;V;238;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;4,50;6.000,00;4,90;0,00;31908034000102;CIRURGICA SERRA MAR LTDA;PROCITEX;783702;HOSPITAL NAVAL DE RECIFE;2611606;RECIFE;PE;52131;COMANDO DA MARINHA;E;F;2023-03-28 00:00:00.0;2024-03-29T03:29:59.864542;2024-03-29T03:59:59.840912;2023-03-28 00:00:00.0;2025-08-25T14:59;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
15814106000162022;492920;SISPP;6; ;11;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;4,50;2,00;12,90;0,00;00453515000147;FARMACIA GINAP LTDA;Sem marca;158141;INST.FED.DE EDUC.,CIENC.E TEC.DO R GRANDE SUL;4302105;BENTO GONÇALVES;RS;26419;INST.FED.DE EDUC.,CIENC.E TEC. DO RS;E;F;2022-03-31 00:00:00.0;2023-04-01T03:30:00.052540;2023-04-01T04:00:00.051006;2022-03-31 00:00:00.0;2025-06-02T11:19;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
12064105000042023;2557787;SISRP;5;V;31;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;;UNIDADE;UN;0,00;50,00;10,29;0,00;01706665000188;MEDPLUS COMERCIO DE ARTIGOS MEDICOS LTDA;CRAL;120641;BASE AÉREA DE PORTOVELHO;1100205;PORTO VELHO;RO;52111;COMANDO DA AERONÁUTICA;E;F;2023-04-03 00:00:00.0;2024-04-04T03:29:59.196887;2024-04-04T03:59:59.181084;2023-04-03 00:00:00.0;2025-05-06T13:04;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
16012905000482021;641960;SISRP;5;V;56;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;4,50;240,00;5,30;0,00;36757380000150;MEDSANTA COMERCIO DE MEDICAMENTOS E MATERIAIS MEDICOS L;PROCITEX;160129;ESCOLA DE SARGENTOS DAS ARMAS;3169307;TRÊS CORAÇÕES;MG;52121;COMANDO DO EXERCITO;E;F;2022-04-05 00:00:00.0;2023-04-06T03:30:00.051258;2023-04-06T04:00:00.049739;2022-04-05 00:00:00.0;2025-08-22T14:36;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
16014605000142022;2613361;SISRP;5;V;77;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;4,50;410,00;7,45;0,00;18702558000184;A FAVARIN DISTRIBUIDORA LTDA;MISSNER;160146;COMANDO DA 18 BRIG DE INFANTARIA DE PANTANAL;5003207;CORUMBÁ;MS;52121;COMANDO DO EXERCITO;E;F;2023-04-25 00:00:00.0;2024-04-26T03:29:59.939491;2024-04-26T03:59:59.927432;2023-04-25 00:00:00.0;2025-09-04T11:37;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
15316505000052023;2624985;SISRP;5;V;46;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;4,50;1.000,00;5,15;0,00;18702558000184;A FAVARIN DISTRIBUIDORA LTDA;MISSNER;153165;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;2611606;RECIFE;PE;26248;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;E;F;2023-05-09 00:00:00.0;2024-05-10T03:29:59.838878;2024-05-10T03:59:59.816517;2023-05-09 00:00:00.0;2025-07-07T15:17;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
45696105001602021;696040;SISRP;5;V;12;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;5,00;43.120,00;5,80;0,00;07847837000110;CIENTIFICA MEDICA HOSPITALAR LTDA;PROCITEX;456961;SECRETARIA DE ESTADO DA SAÚDE DE RR;1400100;BOA VISTA;RR;93648;SECRETARIA DE ESTADO DA SAÚDE DE RR;E;E;2022-04-25 00:00:00.0;2023-04-26T03:30:00.047331;2023-04-26T04:00:00.045771;2022-04-25 00:00:00.0;2024-04-06T15:14;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
45696105001602021;696041;SISRP;5;V;13;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;5,00;10.000,00;7,88;0,00;20511708000114;TECHNOVA - COMERCIO E SERVICO HOSPITALAR - EIRELI;Neve;456961;SECRETARIA DE ESTADO DA SAÚDE DE RR;1400100;BOA VISTA;RR;93648;SECRETARIA DE ESTADO DA SAÚDE DE RR;E;E;2022-04-25 00:00:00.0;2023-04-26T03:30:00.047331;2023-04-26T04:00:00.045771;2022-04-25 00:00:00.0;2024-04-06T15:14;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
16027005000052021;701831;SISRP;5;V;124;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;50,00;910,00;9,75;0,00;33013528000154;S N C DISTRIBUIDORA DE PRODUTOS HOSPITALARES EIRELI;PROCITEX;160270;2 REGIMENTO DE CAVALARIA DE GUARDA/RJ;3304557;RIO DE JANEIRO;RJ;52121;COMANDO DO EXERCITO;E;F;2022-04-26 00:00:00.0;2023-04-27T03:30:00.048529;2023-04-27T04:00:00.049169;2022-04-26 00:00:00.0;2025-08-22T16:00;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
15829706000102023;2705870;SISPP;6; ;37;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;4,50;10,00;9,99;0,00;41948967000187;NATOMEDIC PRODUTOS DE SAUDE LTDA;CREMER;158297;INST.FED.DO MARANHAO/CAMPUS BACABAL;2101202;BACABAL;MA;26408;INST.FED.DE EDUC.,CIENC. E TEC. DO MARANHãO;E;F;2023-04-27 00:00:00.0;2024-04-28T03:29:59.296158;2024-04-28T03:59:59.282132;2023-04-27 00:00:00.0;2022-12-17T15:30;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
25703305000052023;2719607;SISRP;5;V;47;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;5,00;800,00;4,98;0,00;27105456000172;MEDICENTRO COMERCIO DE MEDICAMENTOS LTDA;CRAL;257033;DISTRITO SANIT.ESP.INDÍGENA - CEARA;2304400;FORTALEZA;CE;36000;MINISTERIO DA SAUDE;E;F;2023-06-13 00:00:00.0;2024-06-14T03:29:59.854448;2024-06-14T03:59:59.831617;2023-06-13 00:00:00.0;2024-02-15T08:30;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
16010305000292023;2723943;SISRP;5;V;45;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;4,50;300,00;4,90;0,00;27105456000172;MEDICENTRO COMERCIO DE MEDICAMENTOS LTDA;CRAL;160103;50 BATALHAO DE INFANTARIA DE SELVA/MA;2105302;IMPERATRIZ;MA;52121;COMANDO DO EXERCITO;E;F;2023-04-28 00:00:00.0;2024-04-29T03:29:59.894783;2024-04-29T03:59:59.880549;2023-04-28 00:00:00.0;2025-08-22T18:06;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
98014305000012022;716371;SISPP;5;V;115;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;1,00;1.266,00;4,50;0,00;28296211000132;CGMED COMERCIO DE PRODUTOS HOSPITALARES LTDA;POLAR FIX;980143;PREFEITURA MUNICIPAL NOVA ALVORADA DO SUL-MS;5006002;NOVA ALVORADA DO SUL;MS;97175;PREFEITURA MUNICIPAL NOVA ALVORADA DO SUL-MS;E;M;2022-04-28 00:00:00.0;2023-04-29T03:30:00.047050;2023-04-29T04:00:00.047843;2022-04-28 00:00:00.0;2024-04-13T15:14;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
98746705000512022;2773522;SISRP;5;V;31;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;4,50;4.000,00;3,60;0,00;26847096000111;CIRURGICA ITAMBE - EIRELI;missner;987467;PREFEITURA MUNICIPAL DE CALIFORNIA - PR;4103503;CALIFÓRNIA;PR;97928;PREFEITURA DE DE CALIFORNIA - PR;E;M;2023-05-09 00:00:00.0;2024-05-10T03:29:59.838878;2024-05-10T03:59:59.816517;2023-05-09 00:00:00.0;2023-06-16T15:04;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
16040405000022023;2780397;SISRP;5;V;123;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;4,50;50,00;6,36;0,00;06194440000103;ODONTOMEDI - PRODUTOS ODONTOLOGICOS E HOSPITALARES LTDA;MISSNER;160404;4 REGIMENTO DE CARROS DE COMBATE/RS;4316402;ROSÁRIO DO SUL;RS;52121;COMANDO DO EXERCITO;E;F;2023-05-09 00:00:00.0;2024-05-10T03:29:59.838878;2024-05-10T03:59:59.816517;2023-05-09 00:00:00.0;2025-10-01T16:34;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
98785705000032022;779249;SISRP;5;V;57;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;4,50;100,00;5,50;0,00;39840107000183;MASTERMEDIC DISTRIBUIDORA LTDA;COPERTINA;987857;PREFEITURA MUN.DE SANTO A.DO SUDOESTE - PR;4124400;SANTO ANTÔNIO DO SUDOESTE;PR;97991;PREFEITURA DE SANTO ANTONIO DO SUDOESTE - PR;E;M;2022-05-09 00:00:00.0;2023-05-10T03:30:00.050117;2023-05-10T04:00:00.048339;2022-05-09 00:00:00.0;2023-06-26T16:38;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
15695605000132023;2784144;SISRP;5;V;38;Fita  Adesiva P/ Sutura, TIPO: ESPARADRAPO, IMPERMEÁVEL , MATERIAL: DORSO EM ALGODÃO , COMPONENTES: ADESIVO À BASE DE ZINCO , DIMENSÕES: CERCA DE 50 MM, COR: COM COR ;437862;null;M;ROLO;RO;4,50;800,00;5,20;0,00;18702558000184;A FAVARIN DISTRIBUIDORA LTDA;ADPELE;156956;HOSPITAL UNIV DA UNIVERSIDADE FEDERAL AMAPA;1600303;MACAPÁ;AP;26443;EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES;E;F;2023-07-04 00:00:00.0;2024-07-05T03:29:59.890946;2024-07-05T03:59:59.872939;2023-07-04 00:00:00.0;2025-03-18T12:57;6510;MATERIAIS CIRÚRGICOS PARA CURATIVOS
