idCompra;idItemCompra;forma;modalidade;criterioJulgamento;numeroItemCompra;descricaoItem;codigoItemCatalogo;nomeUnidadeMedida;siglaUnidadeMedida;nomeUnidadeFornecimento;siglaUnidadeFornecimento;capacidadeUnidadeFornecimento;quantidade;precoUnitario;percentualMaiorDesconto;niFornecedor;nomeFornecedor;marca;codigoUasg;nomeUasg;codigoMunicipio;municipio;estado;codigoOrgao;nomeOrgao;poder;esfera;dataCompra;dataHoraAtualizacaoCompra;dataHoraAtualizacaoItem;dataResultado;dataHoraAtualizacaoUasg;codigoClasse;nomeClasse
25705205000252022;2491557;SISRP;5;V;85;METOCLOPRAMIDA CLORIDRATO, DOSAGEM: 4 MG/ML , APRESENTAÇÃO: SOLUÇÃO ORAL ;267311;null;ML;FRASCO;FR;10,00;15.000,00;1,92;0,00;25368443000160;J P L DA SILVA LTDA;UNITHER;257052;DISTRITO SANIT.ESP.INDÍGENA - YANOMAMI;1400100;BOA VISTA;RR;36000;MINISTERIO DA SAUDE;E;F;2023-03-23 00:00:00.0;2024-03-24T03:29:59.849042;2024-03-24T03:59:59.825907;2023-03-23 00:00:00.0;2025-06-23T12:35;6505;DROGAS E MEDICAMENTOS
98108305000082022;574699;SISRP;5;V;68;METOCLOPRAMIDA CLORIDRATO, DOSAGEM: 4 MG/ML , APRESENTAÇÃO: SOLUÇÃO ORAL ;267311;null;ML;FRASCO;FR;10,00;500,00;1,50;0,00;04385090000137;MAURO ROBERTO RODRIGUES DE MOURA;MEDQUIMICA;981083;PREFEITURA MUNICIPAL DE FRANCISCO SANTOS - PI;2204204;FRANCISCO SANTOS;PI;94282;PREFEITURA MUNICIPAL DE FRANCISCO SANTOS - PI;E;M;2022-03-24 00:00:00.0;2023-03-25T03:30:00.048648;2023-03-25T04:00:00.048666;2022-03-24 00:00:00.0;2024-04-18T12:23;6505;DROGAS E MEDICAMENTOS
15500905000222023;2512804;SISRP;5;V;91;METOCLOPRAMIDA CLORIDRATO, DOSAGEM: 4 MG/ML , APRESENTAÇÃO: SOLUÇÃO ORAL ;267311;null;ML;FRASCO;FR;10,00;600,00;10,07;0,00;16553940000148;MEDMAX COMERCIO DE MEDICAMENTOS LTDA;Plabel;155009;HOSPITAL UNIVERSITÁRIO DE BRASÍLIA;5300108;BRASÍLIA;DF;26443;EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES;E;F;2023-03-29 00:00:00.0;2024-03-30T03:29:59.757567;2024-03-30T03:59:59.733500;2023-03-29 00:00:00.0;2025-04-22T13:59;6505;DROGAS E MEDICAMENTOS
94300105002062023;2513134;SISRP;5;V;3;METOCLOPRAMIDA CLORIDRATO, DOSAGEM: 4 MG/ML , APRESENTAÇÃO: SOLUÇÃO ORAL ;267311;null;ML;FRASCO;FR;10,00;38.154,00;2,10;0,00;12418191000195;CONQUISTA DISTRIBUIDORA DE MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA;PLABEL;943001;GOVERNO DO ESTADO DO CEARÁ;2304400;FORTALEZA;CE;86940;GOVERNO DO ESTADO DO CEARÁ;E;E;2023-03-27 00:00:00.0;2024-03-28T03:29:59.887238;2024-03-28T03:59:59.851998;2023-03-27 00:00:00.0;2025-06-17T11:15;6505;DROGAS E MEDICAMENTOS
16024205000122023;2523601;SISRP;5;V;29;METOCLOPRAMIDA CLORIDRATO, DOSAGEM: 4 MG/ML , APRESENTAÇÃO: SOLUÇÃO ORAL ;267311;null;ML;FRASCO;FR;10,00;120,00;6,30;0,00;37714493000131;FARMAMED COMERCIO DE MEDICAMENTOS LTDA;MEDQUIMICA;160242;BASE ADMINISTRATIVA DO COMPLEXO DE SAÚDE RJ;3304557;RIO DE JANEIRO;RJ;52121;COMANDO DO EXERCITO;E;F;2023-03-28 00:00:00.0;2024-03-29T03:29:59.864542;2024-03-29T03:59:59.840912;2023-03-28 00:00:00.0;2025-09-12T10:37;6505;DROGAS E MEDICAMENTOS
16001905000192021;592079;SISRP;5;V;223;METOCLOPRAMIDA CLORIDRATO, DOSAGEM: 4 MG/ML , APRESENTAÇÃO: SOLUÇÃO ORAL ;267311;null;ML;FRASCO;FR;10,00;3.000,00;1,11;0,00;20637873000117;MEDIC VET DISTRIBUIDORA DE MEDICAMENTOS EIRELI;METOCLOPRAMIDA 10 ML;160019;HOSPITAL DE GUARNICAO DE TABATINGA/MEX/AM;1304062;TABATINGA;AM;52121;COMANDO DO EXERCITO;E;F;2022-03-30 00:00:00.0;2023-03-31T03:30:00.048418;2023-03-31T04:00:00.047801;2022-03-30 00:00:00.0;2025-09-18T17:03;6505;DROGAS E MEDICAMENTOS
15501305001032021;596091;SISRP;5;V;44;METOCLOPRAMIDA CLORIDRATO, DOSAGEM: 4 MG/ML , APRESENTAÇÃO: SOLUÇÃO ORAL ;267311;null;ML;FRASCO;FR;10,00;200,00;1,21;0,00;25279552000101;DISTRIBUIDORA DE MEDICAMENTOS BACKES EIRELI;PHARLAB;155013;HOSPITAL UNIVERSITÁRIO ONOFRE LOPES;2408102;NATAL;RN;26443;EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES;E;F;2022-03-31 00:00:00.0;2023-04-01T03:30:00.052540;2023-04-01T04:00:00.051006;2022-03-31 00:00:00.0;2025-03-18T14:08;6505;DROGAS E MEDICAMENTOS
98054305000032023;2556647;SISRP;5;V;55;METOCLOPRAMIDA CLORIDRATO, DOSAGEM: 4 MG/ML , APRESENTAÇÃO: SOLUÇÃO ORAL ;267311;null;ML;FRASCO;FR;10,00;10.000,00;0,70;0,00;07851653000123;PHENIX HOSPITALAR LTDA;HIPOLABOR;980543;PREFEITURA MUNICIPAL SAO DOMINGOS DO CAPIM-PA;1507201;SÃO DOMINGOS DO CAPIM;PA;98905;PREFEITURA MUNICIPAL SAO DOMINGOS DO CAPIM-PA;E;M;2023-04-03 00:00:00.0;2024-04-04T03:29:59.196887;2024-04-04T03:59:59.181084;2023-04-03 00:00:00.0;2025-06-09T10:23;6505;DROGAS E MEDICAMENTOS
98859905000642023;2560441;SISRP;5;V;18;METOCLOPRAMIDA CLORIDRATO, DOSAGEM: 4 MG/ML , APRESENTAÇÃO: SOLUÇÃO ORAL ;267311;null;ML;FRASCO;FR;10,00;2.500,00;2,18;0,00;12418191000195;CONQUISTA DISTRIBUIDORA DE MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA;PLABEL;988599;PREFEITURA MUNICIPAL DE CAXIAS DO SUL/RS;4305108;CAXIAS DO SUL;RS;96384;PREFEITURA DE CAXIAS DO SUL;E;M;2023-04-03 00:00:00.0;2024-04-04T03:29:59.196887;2024-04-04T03:59:59.181084;2023-04-03 00:00:00.0;2023-02-22T16:30;6505;DROGAS E MEDICAMENTOS
98768905000202022;635552;SISPP;5;V;143;METOCLOPRAMIDA CLORIDRATO, DOSAGEM: 4 MG/ML , APRESENTAÇÃO: SOLUÇÃO ORAL ;267311;null;ML;FRASCO;FR;10,00;1.000,00;0,95;0,00;28289799000105;SOS DISTRIBUIDORA IMPORTADORA E EXPORTADORA DE PRODUTOS;MARIOL;987689;PREFEITURA MUNICIPAL DE MARILUZ - PR;4115101;MARILUZ;PR;97940;PREFEITURA DE MARILUZ - PR;E;M;2022-04-04 00:00:00.0;2023-04-05T03:30:00.048478;2023-04-05T04:00:00.047730;2022-04-04 00:00:00.0;2023-06-16T15:04;6505;DROGAS E MEDICAMENTOS
